,Course_Title,Organization,Course_Type,Course_Rating,Difficulty_Level,Enrolled_Students,Students
538,Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37k,37000.0
539,L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8k,8000.0
540,"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k,6300.0
541,Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17k,17000.0
542,Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34k,34000.0
543,Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16k,16000.0
544,Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k,220000.0
545,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5.9k,5900.0
546,Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k,16000.0
547,Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43k,43000.0
548,Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k,22000.0
549,Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k,78000.0
550,Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k,52000.0
551,Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k,120000.0
552,Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k,39000.0
553,Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k,160000.0
554,Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k,80000.0
555,Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180k,180000.0
556,Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120k,120000.0
557,Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k,68000.0
558,Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.2k,7200.0
559,Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k,10000.0
560,Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k,23000.0
561,Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,29000.0
562,Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14k,14000.0
563,Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290k,290000.0
564,Machine Learning,Stanford University,COURSE,4.9,Mixed,3.2m,3200000.0
565,Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240k,240000.0
566,Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29k,29000.0
567,Machine Learning for All,University of London,COURSE,4.6,Beginner,19k,19000.0
568,Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58k,58000.0
569,Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15k,15000.0
570,Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120k,120000.0
571,Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72k,72000.0
572,Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78k,78000.0
573,Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43k,43000.0
574,Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120k,120000.0
575,Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11k,11000.0
576,Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55k,55000.0
577,Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23k,23000.0
578,Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71k,71000.0
579,Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27k,27000.0
580,Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47k,47000.0
581,Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22k,22000.0
582,Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81k,81000.0
583,Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39k,39000.0
584,Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49k,49000.0
585,Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93k,93000.0
586,Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57k,57000.0
587,Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58k,58000.0
588,Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60k,60000.0
589,Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310k,310000.0
590,Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280k,280000.0
591,Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8.4k,8400.0
592,Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52k,52000.0
593,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48k,48000.0
594,Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12k,12000.0
595,Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150k,150000.0
596,Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140k,140000.0
597,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51k,51000.0
598,Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33k,33000.0
599,Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4.8k,4800.0
600,Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170k,170000.0
601,Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13k,13000.0
602,Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260k,260000.0
603,Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73k,73000.0
604,Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34k,34000.0
605,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230k,230000.0
606,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120k,120000.0
607,Model Thinking,University of Michigan,COURSE,4.8,Mixed,130k,130000.0
608,Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36k,36000.0
609,Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310k,310000.0
610,Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14k,14000.0
611,"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21k,21000.0
612,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9.1k,9100.0
613,Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100k,100000.0
614,More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40k,40000.0
615,Mountains 101,University of Alberta,COURSE,4.9,Mixed,44k,44000.0
616,Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59k,59000.0
617,Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42k,42000.0
618,Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34k,34000.0
619,Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70k,70000.0
620,Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21k,21000.0
621,Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40k,40000.0
622,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95k,95000.0
623,"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22k,22000.0
624,Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17k,17000.0
625,Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290k,290000.0
626,Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630k,630000.0
627,Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41k,41000.0
628,New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12k,12000.0
629,Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.3k,5300.0
630,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100k,100000.0
631,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35k,35000.0
632,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250k,250000.0
633,Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330k,330000.0
634,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21k,21000.0
635,Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33k,33000.0
636,Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,57k,57000.0
637,"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13k,13000.0
638,Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76k,76000.0
639,Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,80k,80000.0
640,Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6.2k,6200.0
641,Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92k,92000.0
642,Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22k,22000.0
643,Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3.2k,3200.0
644,Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9.1k,9100.0
645,"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30k,30000.0
646,Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42k,42000.0
647,Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8.8k,8800.0
648,Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12k,12000.0
649,People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,84k,84000.0
650,Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,79k,79000.0
651,Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8.9k,8900.0
652,Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160k,160000.0
653,Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83k,83000.0
654,Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34k,34000.0
655,Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,72k,72000.0
656,Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180k,180000.0
657,Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23k,23000.0
658,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50k,50000.0
659,Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40k,40000.0
660,Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67k,67000.0
661,Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10k,10000.0
662,Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39k,39000.0
663,Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22k,22000.0
664,Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68k,68000.0
665,"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47k,47000.0
666,Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20k,20000.0
667,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280k,280000.0
668,Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,79k,79000.0
669,Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68k,68000.0
670,Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36k,36000.0
671,Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39k,39000.0
672,"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250k,250000.0
673,Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19k,19000.0
674,Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed,1.3m,1300000.0
675,Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18k,18000.0
676,Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70k,70000.0
677,Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190k,190000.0
678,Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440k,440000.0
679,Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230k,230000.0
680,Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,190k,190000.0
681,Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52k,52000.0
682,Python Basics,University of Michigan,COURSE,4.8,Beginner,110k,110000.0
683,Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21k,21000.0
684,Python Data Structures,University of Michigan,COURSE,4.9,Mixed,420k,420000.0
685,"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26k,26000.0
686,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41k,41000.0
687,Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170k,170000.0
688,Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1.5m,1500000.0
689,Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69k,69000.0
690,Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3k,3000.0
691,R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480k,480000.0
692,"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7.7k,7700.0
693,Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29k,29000.0
694,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,35k,35000.0
695,Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23k,23000.0
696,Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24k,24000.0
697,Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5.2k,5200.0
698,Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.2k,7200.0
699,Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16k,16000.0
700,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,15k,15000.0
701,Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170k,170000.0
702,Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36k,36000.0
703,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17k,17000.0
704,Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k,120000.0
705,Roman Architecture,Yale University,COURSE,4.9,Beginner,30k,30000.0
706,Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3.2k,3200.0
707,Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7k,7000.0
708,Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33k,33000.0
709,SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370k,370000.0
710,SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2.6k,2600.0
711,SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160k,160000.0
712,Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5.6k,5600.0
713,Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16k,16000.0
714,Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6.8k,6800.0
715,Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12k,12000.0
716,School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9.1k,9100.0
717,Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140k,140000.0
718,Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47k,47000.0
719,Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.4k,6400.0
720,Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14k,14000.0
721,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,300000.0
722,Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39k,39000.0
723,Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14k,14000.0
724,Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110k,110000.0
725,Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61k,61000.0
726,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16k,16000.0
727,Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18k,18000.0
728,Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15k,15000.0
729,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20k,20000.0
730,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k,22000.0
731,Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13k,13000.0
732,Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130k,130000.0
733,"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78k,78000.0
734,Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4.2k,4200.0
735,Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220k,220000.0
736,Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42k,42000.0
737,Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60k,60000.0
738,Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34k,34000.0
739,Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60k,60000.0
740,Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110k,110000.0
741,Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17k,17000.0
742,Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68k,68000.0
743,Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8.8k,8800.0
744,Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12k,12000.0
745,Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71k,71000.0
746,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed,430k,430000.0
747,Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12k,12000.0
748,Sports and Society,Duke University,COURSE,4.8,Mixed,16k,16000.0
749,Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370k,370000.0
750,Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17k,17000.0
751,Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16k,16000.0
752,Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34k,34000.0
753,Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220k,220000.0
754,Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28k,28000.0
755,Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60k,60000.0
756,Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9.5k,9500.0
757,Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100k,100000.0
758,Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58k,58000.0
759,Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68k,68000.0
760,Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9.2k,9200.0
761,Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30k,30000.0
762,Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11k,11000.0
763,Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220k,220000.0
764,Success,University of Pennsylvania,COURSE,4.8,Beginner,38k,38000.0
765,Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,750k,750000.0
766,Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11k,11000.0
767,Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7.9k,7900.0
768,Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4.9k,4900.0
769,Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66k,66000.0
770,Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82k,82000.0
771,Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24k,24000.0
772,Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,29000.0
773,Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50k,50000.0
774,Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45k,45000.0
775,Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9.4k,9400.0
776,Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3.9k,3900.0
777,System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62k,62000.0
778,Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48k,48000.0
779,Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Mixed,33k,33000.0
780,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100k,100000.0
781,"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62k,62000.0
782,Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,81k,81000.0
783,Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8.5k,8500.0
784,Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53k,53000.0
785,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49k,49000.0
786,Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280k,280000.0
787,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k,170000.0
788,TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12k,12000.0
789,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90k,90000.0
790,The Addicted Brain,Emory University,COURSE,4.6,Beginner,130k,130000.0
791,The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47k,47000.0
792,The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23k,23000.0
793,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73k,73000.0
794,The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130k,130000.0
795,The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22k,22000.0
796,The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84k,84000.0
797,The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23k,23000.0
798,The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11k,11000.0
799,The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120k,120000.0
800,The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420k,420000.0
801,The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7.2k,7200.0
802,The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,84k,84000.0
803,The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29k,29000.0
804,The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed,47k,47000.0
805,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130k,130000.0
806,"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47k,47000.0
807,The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9.4k,9400.0
808,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180k,180000.0
809,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120k,120000.0
810,The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1.7k,1700.0
811,The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50k,50000.0
812,The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12k,12000.0
813,The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59k,59000.0
814,The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13k,13000.0
815,The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2.5m,2500000.0
816,The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320k,320000.0
817,The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19k,19000.0
